COMPDESC,count
ELECTRICAL SYSTEM,191082
ENGINE,168499
POWER TRAIN,136475
AIR BAGS,129116
STEERING,117536
UNKNOWN OR OTHER,117227
SERVICE BRAKES,78638
VEHICLE SPEED CONTROL,73431
FUEL/PROPULSION SYSTEM,62132
STRUCTURE:BODY,49544
SUSPENSION,49061
POWER TRAIN:AUTOMATIC TRANSMISSION,48534
TIRES,44791
EXTERIOR LIGHTING,42856
ENGINE AND ENGINE COOLING,40843
"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP",33417
ENGINE AND ENGINE COOLING:ENGINE,31023
"FUEL SYSTEM, GASOLINE",29927
"SERVICE BRAKES, HYDRAULIC",28763
VISIBILITY/WIPER,24056
TIRES:TREAD/BELT,22879
SEATS,21584
SEAT BELTS,21467
ELECTRONIC STABILITY CONTROL (ESC),21265
STRUCTURE,20539
AIR BAGS:FRONTAL,20331
WHEELS,19671
ENGINE AND ENGINE COOLING:ENGINE:GASOLINE,18609
FORWARD COLLISION AVOIDANCE: AUTOMATIC EMERGENCY BRAKING,12316
EQUIPMENT,11236
SUSPENSION:FRONT,11104
STRUCTURE:BODY:DOOR ,11012
"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:ROTOR",10372
ELECTRICAL SYSTEM:IGNITION,10002
VISIBILITY,9195
LATCHES/LOCKS/LINKAGES,8953
VISIBILITY:POWER WINDOW DEVICES AND CONTROLS,8513
STRUCTURE:FRAME AND MEMBERS,8407
EXTERIOR LIGHTING:HEADLIGHTS,8241
TIRES:SIDEWALL,8066
"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS",7970
FORWARD COLLISION AVOIDANCE: ADAPTIVE CRUISE CONTROL,7633
LATCHES/LOCKS/LINKAGES:DOORS:LATCH,7549
ENGINE AND ENGINE COOLING:COOLING SYSTEM,7317
FORWARD COLLISION AVOIDANCE: WARNINGS,7240
EQUIPMENT:APPLIANCE:AIR CONDITIONER,7187
ELECTRICAL SYSTEM:IGNITION:SWITCH,6669
ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,6513
VISIBILITY:WINDSHIELD WIPER/WASHER,6491
POWER TRAIN:MANUAL TRANSMISSION,6345
"FUEL SYSTEM, GASOLINE:STORAGE:TANK ASSEMBLY",6244
SUSPENSION:REAR,6136
"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",5761
VEHICLE SPEED CONTROL:ACCELERATOR PEDAL,5741
VISIBILITY:WINDSHIELD,5695
CHILD SEAT,5506
"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC",5106
SEAT BELTS:FRONT:BUCKLE ASSEMBLY,4975
SUSPENSION:FRONT:CONTROL ARM:LOWER BALL JOINT,4837
ENGINE AND ENGINE COOLING:EXHAUST SYSTEM,4626
ELECTRICAL SYSTEM:WIRING,4514
VISIBILITY:WINDSHIELD WIPER/WASHER:MOTOR,4320
SEAT BELTS:FRONT:RETRACTOR,4287
ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:MANIFOLD/HEADER/MUFFLER/TAIL PIPE,4273
ELECTRICAL SYSTEM:12V/24V/48V BATTERY,4233
STEERING: STEERING WHEEL/HANDLE BAR,4041
"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:PADS ",4019
SUSPENSION:FRONT:CONTROL ARM:UPPER BALL JOINT,3970
ELECTRICAL SYSTEM:WIRING:INTERIOR/UNDER DASH,3959
STEERING:HYDRAULIC POWER ASSIST SYSTEM,3893
SEAT BELTS:FRONT:ANCHORAGE,3875
ELECTRICAL SYSTEM:WIRING:FRONT UNDERHOOD,3875
VISIBILITY:DEFROSTER/DEFOGGER/HVAC SYSTEM,3841
VEHICLE SPEED CONTROL:CRUISE CONTROL,3801
VISIBILITY:SUN/MOON ROOF ASSEMBLY,3605
STEERING:RACK AND PINION,3572
ELECTRICAL SYSTEM:ALTERNATOR/GENERATOR/REGULATOR,3571
SEATS:FRONT ASSEMBLY:RECLINER,3522
ELECTRICAL SYSTEM:HORN,3466
"FUEL SYSTEM, GASOLINE:FUEL INJECTION SYSTEM",3401
PARKING BRAKE,3025
STEERING:LINKAGES:TIE ROD ASSEMBLY,2982
"FUEL SYSTEM, OTHER",2938
"VISIBILITY:GLASS, SIDE/REAR",2884
"FUEL SYSTEM, DIESEL",2881
STRUCTURE:FRAME AND MEMBERS:UNDERBODY SHIELDS,2873
LANE DEPARTURE: ASSIST,2861
BACK OVER PREVENTION,2841
AIR BAGS:FRONTAL:SENSOR/CONTROL MODULE,2809
POWER TRAIN:AXLE ASSEMBLY,2748
SUSPENSION:FRONT:SPRINGS:COIL SPRINGS,2712
INTERIOR LIGHTING,2707
ENGINE AND ENGINE COOLING:ENGINE:GASOLINE:BELTS AND ASSOCIATED PULLEYS,2706
"SERVICE BRAKES, ELECTRIC",2633
EQUIPMENT:ELECTRICAL,2608
POWER TRAIN:CLUTCH ASSEMBLY,2603
"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:MASTER CYLINDER",2591
AIR BAGS:SIDE/WINDOW,2569
EQUIPMENT:RECREATIONAL VEHICLE/TRAILER,2549
POWER TRAIN:DRIVELINE:DIFFERENTIAL UNIT,2529
