COMPDESC,count
ELECTRICAL SYSTEM,248435
POWER TRAIN,218169
ENGINE,168499
AIR BAGS,156535
STEERING,144019
ENGINE AND ENGINE COOLING,121239
UNKNOWN OR OTHER,117227
"SERVICE BRAKES, HYDRAULIC",107175
STRUCTURE,104183
SUSPENSION,89890
VEHICLE SPEED CONTROL,85148
TIRES,81200
SERVICE BRAKES,78638
EXTERIOR LIGHTING,62930
FUEL/PROPULSION SYSTEM,62132
"FUEL SYSTEM, GASOLINE",56215
VISIBILITY,53245
SEAT BELTS,39221
EQUIPMENT,33078
SEATS,28806
FORWARD COLLISION AVOIDANCE,28131
WHEELS,24590
VISIBILITY/WIPER,24056
ELECTRONIC STABILITY CONTROL (ESC),21286
LATCHES/LOCKS/LINKAGES,20734
CHILD SEAT,16814
BACK OVER PREVENTION,8203
LANE DEPARTURE,7832
"FUEL SYSTEM, OTHER",5932
PARKING BRAKE,4938
"SERVICE BRAKES, AIR",4562
"FUEL SYSTEM, DIESEL",3192
INTERIOR LIGHTING,2707
"SERVICE BRAKES, ELECTRIC",2646
TRACTION CONTROL SYSTEM,2344
EQUIPMENT ADAPTIVE/MOBILITY,1723
TRAILER HITCHES,1013
"Chest Clip, Buckle, Harness",629
HYBRID PROPULSION SYSTEM,571
Other/I am not sure ,429
"Carry Handle, Shell, Base",350
ELECTRONIC STABILITY CONTROL,335
FIRERELATED,169
"Insert, Padding",154
,149
"Tether, Lower Anchor (on car seat or vehicle)",147
COMMUNICATION,110
I suspect the car seat is counterfeit,88
NONE,14
Other/Unknown,10
"SERVICE BRAKES, HYDRAULIC; AUTOHOLD BRAKE SYSTEM/BRAKE HOLD",8
OTHER,6
ROLLOVER,2
TRAILER HARDWARE,1
COMMUNICATIONS,1
