idx,CMPLID,pred_component,COMPDESC_TOP,COMPDESC
0,989988,VEHICLE SPEED CONTROL,TRACTION CONTROL SYSTEM,TRACTION CONTROL SYSTEM
3,1831502,HYBRID PROPULSION SYSTEM,POWER TRAIN,POWER TRAIN
5,1669460,ELECTRICAL SYSTEM,ENGINE,ENGINE
10,1079553,VISIBILITY,VISIBILITY/WIPER,VISIBILITY/WIPER
12,957766,ENGINE AND ENGINE COOLING,POWER TRAIN,POWER TRAIN
15,956529,EXTERIOR LIGHTING,ELECTRICAL SYSTEM,ELECTRICAL SYSTEM
16,2000113,BACK OVER PREVENTION,UNKNOWN OR OTHER,UNKNOWN OR OTHER
17,1788995,ENGINE AND ENGINE COOLING,ENGINE,ENGINE
18,272039,POWER TRAIN,STRUCTURE,STRUCTURE:BODY:DOOR 
20,503366,ENGINE,VEHICLE SPEED CONTROL,VEHICLE SPEED CONTROL
23,1330887,ELECTRICAL SYSTEM,EXTERIOR LIGHTING,EXTERIOR LIGHTING
24,2129929,SEAT BELTS,AIR BAGS,AIR BAGS
25,989849,"FUEL SYSTEM, GASOLINE",FUEL/PROPULSION SYSTEM,FUEL/PROPULSION SYSTEM
26,1819370,SERVICE BRAKES,ENGINE AND ENGINE COOLING,ENGINE AND ENGINE COOLING
27,1944762,TIRES,WHEELS,WHEELS:LUGS/NUTS/BOLTS/STUDS
28,441375,SEATS,,
33,106111,"SERVICE BRAKES, HYDRAULIC",ELECTRICAL SYSTEM,ELECTRICAL SYSTEM:WIRING
36,2130618,ENGINE AND ENGINE COOLING,ENGINE,ENGINE
37,320725,SERVICE BRAKES,"SERVICE BRAKES, HYDRAULIC","SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:PADS "
38,680479,ELECTRICAL SYSTEM,ENGINE AND ENGINE COOLING,ENGINE AND ENGINE COOLING
40,2138266,VEHICLE SPEED CONTROL,POWER TRAIN,POWER TRAIN
42,2218288,ENGINE AND ENGINE COOLING,LANE DEPARTURE,LANE DEPARTURE: ASSIST
43,1673685,"SERVICE BRAKES, HYDRAULIC",UNKNOWN OR OTHER,UNKNOWN OR OTHER
49,1778105,BACK OVER PREVENTION,ELECTRICAL SYSTEM,ELECTRICAL SYSTEM
50,365669,UNKNOWN OR OTHER,"FUEL SYSTEM, GASOLINE","FUEL SYSTEM, GASOLINE:STORAGE:TANK ASSEMBLY"
51,759725,SERVICE BRAKES,"SERVICE BRAKES, ELECTRIC","SERVICE BRAKES, ELECTRIC"
53,95040,VISIBILITY/WIPER,VISIBILITY,VISIBILITY:WINDSHIELD WIPER/WASHER
54,1565000,ENGINE,POWER TRAIN,POWER TRAIN
59,904390,SERVICE BRAKES,POWER TRAIN,POWER TRAIN
60,81498,SERVICE BRAKES,"SERVICE BRAKES, HYDRAULIC","SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:ROTOR"
61,1490521,POWER TRAIN,FUEL/PROPULSION SYSTEM,FUEL/PROPULSION SYSTEM
65,1190458,COMMUNICATION,EQUIPMENT ADAPTIVE/MOBILITY,EQUIPMENT ADAPTIVE/MOBILITY
67,69368,LATCHES/LOCKS/LINKAGES,STRUCTURE,STRUCTURE:BODY:DOOR 
69,1755273,STEERING,SUSPENSION,SUSPENSION
70,1068801,FIRERELATED,STRUCTURE,STRUCTURE:BODY
71,766100,SERVICE BRAKES,TRACTION CONTROL SYSTEM,TRACTION CONTROL SYSTEM
73,2094157,ENGINE AND ENGINE COOLING,POWER TRAIN,POWER TRAIN
75,402472,LATCHES/LOCKS/LINKAGES,SEAT BELTS,SEAT BELTS:REAR/OTHER
76,159276,PARKING BRAKE,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION:PARK/NEUTRAL START INTERLOCK SWITCH
82,615092,TIRES,SUSPENSION,SUSPENSION
83,535562,VEHICLE SPEED CONTROL,ELECTRICAL SYSTEM,ELECTRICAL SYSTEM
85,1827715,TIRES,WHEELS,WHEELS
86,981025,VEHICLE SPEED CONTROL,ENGINE,ENGINE
88,1149726,POWER TRAIN,ENGINE,ENGINE
90,1616867,SEAT BELTS,AIR BAGS,AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION
93,35329,SERVICE BRAKES,"SERVICE BRAKES, HYDRAULIC","SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:ROTOR"
94,1520772,POWER TRAIN,UNKNOWN OR OTHER,UNKNOWN OR OTHER
96,1024579,ELECTRICAL SYSTEM,EXTERIOR LIGHTING,EXTERIOR LIGHTING
97,546699,TRACTION CONTROL SYSTEM,ELECTRICAL SYSTEM,ELECTRICAL SYSTEM:HORN
98,67355,FIRERELATED,ENGINE AND ENGINE COOLING,ENGINE AND ENGINE COOLING:ENGINE:GASOLINE
102,468144,FIRERELATED,ELECTRICAL SYSTEM,ELECTRICAL SYSTEM:WIRING:FRONT UNDERHOOD
104,1603447,VEHICLE SPEED CONTROL,POWER TRAIN,POWER TRAIN
106,1927460,ENGINE,FUEL/PROPULSION SYSTEM,FUEL/PROPULSION SYSTEM
108,1998804,SUSPENSION,UNKNOWN OR OTHER,UNKNOWN OR OTHER
112,2203819,COMMUNICATION,ELECTRICAL SYSTEM,ELECTRICAL SYSTEM
114,68374,ENGINE,ENGINE AND ENGINE COOLING,ENGINE AND ENGINE COOLING:ENGINE
115,1696136,ELECTRICAL SYSTEM,ENGINE,ENGINE
116,2037591,ELECTRICAL SYSTEM,POWER TRAIN,POWER TRAIN
119,1212808,FIRERELATED,AIR BAGS,AIR BAGS
120,1457946,"SERVICE BRAKES, HYDRAULIC",SERVICE BRAKES,SERVICE BRAKES
122,1717830,LATCHES/LOCKS/LINKAGES,UNKNOWN OR OTHER,UNKNOWN OR OTHER
123,136978,SUSPENSION,POWER TRAIN,POWER TRAIN:AXLE ASSEMBLY:AXLE SHAFT
125,350208,UNKNOWN OR OTHER,ENGINE AND ENGINE COOLING,ENGINE AND ENGINE COOLING:ENGINE:GASOLINE
128,1346958,"SERVICE BRAKES, HYDRAULIC",STRUCTURE,STRUCTURE:BODY
135,92525,ENGINE,ENGINE AND ENGINE COOLING,ENGINE AND ENGINE COOLING:ENGINE
136,2229960,STRUCTURE,VISIBILITY,VISIBILITY:WINDSHIELD
137,887777,POWER TRAIN,ENGINE AND ENGINE COOLING,ENGINE AND ENGINE COOLING
139,535913,SERVICE BRAKES,"SERVICE BRAKES, HYDRAULIC","SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:PADS "
140,1629545,"FUEL SYSTEM, GASOLINE",FUEL/PROPULSION SYSTEM,FUEL/PROPULSION SYSTEM
141,1103721,"SERVICE BRAKES, HYDRAULIC",ELECTRONIC STABILITY CONTROL (ESC),ELECTRONIC STABILITY CONTROL (ESC)
144,1125929,AIR BAGS,VISIBILITY,VISIBILITY:DEFROSTER/DEFOGGER/HVAC SYSTEM
145,1407170,STEERING,"SERVICE BRAKES, AIR","SERVICE BRAKES, AIR"
150,1623226,ENGINE,POWER TRAIN,POWER TRAIN
152,808140,VEHICLE SPEED CONTROL,POWER TRAIN,POWER TRAIN
154,1452033,"FUEL SYSTEM, GASOLINE",FUEL/PROPULSION SYSTEM,FUEL/PROPULSION SYSTEM
157,1876,ENGINE,ELECTRICAL SYSTEM,ELECTRICAL SYSTEM:IGNITION
159,339572,SERVICE BRAKES,"SERVICE BRAKES, HYDRAULIC","SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:ROTOR"
