idx,CMPLID,pred_component,COMPDESC_TOP
5,1669460,ELECTRICAL SYSTEM,ENGINE
18,272039,POWER TRAIN,STRUCTURE
26,1819370,SERVICE BRAKES,ENGINE AND ENGINE COOLING
28,441375,SEATS,
33,106111,"SERVICE BRAKES, HYDRAULIC",ELECTRICAL SYSTEM
38,680479,ELECTRICAL SYSTEM,ENGINE AND ENGINE COOLING
42,2218288,ENGINE AND ENGINE COOLING,LANE DEPARTURE
43,1673685,"SERVICE BRAKES, HYDRAULIC",UNKNOWN OR OTHER
49,1778105,BACK OVER PREVENTION,ELECTRICAL SYSTEM
50,365669,UNKNOWN OR OTHER,"FUEL SYSTEM, GASOLINE"
59,904390,SERVICE BRAKES,POWER TRAIN
65,1190458,COMMUNICATION,EQUIPMENT ADAPTIVE/MOBILITY
67,69368,LATCHES/LOCKS/LINKAGES,STRUCTURE
70,1068801,FIRERELATED,STRUCTURE
71,766100,SERVICE BRAKES,TRACTION CONTROL SYSTEM
75,402472,LATCHES/LOCKS/LINKAGES,SEAT BELTS
76,159276,PARKING BRAKE,POWER TRAIN
83,535562,VEHICLE SPEED CONTROL,ELECTRICAL SYSTEM
94,1520772,POWER TRAIN,UNKNOWN OR OTHER
97,546699,TRACTION CONTROL SYSTEM,ELECTRICAL SYSTEM
98,67355,FIRERELATED,ENGINE AND ENGINE COOLING
102,468144,FIRERELATED,ELECTRICAL SYSTEM
108,1998804,SUSPENSION,UNKNOWN OR OTHER
115,1696136,ELECTRICAL SYSTEM,ENGINE
116,2037591,ELECTRICAL SYSTEM,POWER TRAIN
119,1212808,FIRERELATED,AIR BAGS
122,1717830,LATCHES/LOCKS/LINKAGES,UNKNOWN OR OTHER
123,136978,SUSPENSION,POWER TRAIN
125,350208,UNKNOWN OR OTHER,ENGINE AND ENGINE COOLING
128,1346958,"SERVICE BRAKES, HYDRAULIC",STRUCTURE
136,2229960,STRUCTURE,VISIBILITY
141,1103721,"SERVICE BRAKES, HYDRAULIC",ELECTRONIC STABILITY CONTROL (ESC)
144,1125929,AIR BAGS,VISIBILITY
145,1407170,STEERING,"SERVICE BRAKES, AIR"
157,1876,ENGINE,ELECTRICAL SYSTEM
